=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
TRBUSDT      | 4h    | 17       | 41.18 %   | 19.57 % | $+36,497.57
RUNEUSDT     | 1h    | 64       | 29.69 %   | 29.91 % | $-8,401.09
RUNEUSDT     | 4h    | 18       |  0.00 %   | 63.30 % | $-63,299.51
SUSHIUSDT    | 1h    | 70       | 40.00 %   | 10.45 % | $+42,859.93
SUSHIUSDT    | 4h    | 8        | 62.50 %   |  5.63 % | $+49,751.22
EGLDUSDT     | 1h    | 75       | 40.00 %   | 19.84 % | $+62,941.30
EGLDUSDT     | 4h    | 10       | 60.00 %   |  5.86 % | $+29,578.00
SOLUSDT      | 1h    | 62       | 32.26 %   | 13.51 % | $+41,024.17
SOLUSDT      | 4h    | 19       | 31.58 %   | 11.11 % | $+26,752.69
ICXUSDT      | 1h    | 57       | 43.86 %   | 12.29 % | $+67,196.14
ICXUSDT      | 4h    | 11       | 45.45 %   |  3.72 % | $+83,044.35
STORJUSDT    | 1h    | 62       | 37.10 %   | 17.81 % | $+10,562.85
STORJUSDT    | 4h    | 12       | 50.00 %   | 13.78 % | $+19,743.36
UNIUSDT      | 1h    | 65       | 30.77 %   | 17.87 % | $+15,214.08
UNIUSDT      | 4h    | 15       | 40.00 %   | 10.67 % | $+64,489.12
AVAXUSDT     | 1h    | 66       | 25.76 %   | 51.78 % | $-45,507.46
AVAXUSDT     | 4h    | 13       | 30.77 %   | 28.89 % | $-24,511.87
ENJUSDT      | 1h    | 71       | 47.89 %   |  9.03 % | $+91,330.89
ENJUSDT      | 4h    | 14       | 64.29 %   |  9.45 % | $+56,951.26
KSMUSDT      | 1h    | 68       | 41.18 %   |  8.47 % | $+51,067.37
KSMUSDT      | 4h    | 14       | 57.14 %   |  8.69 % | $+54,073.21
NEARUSDT     | 1h    | 64       | 21.88 %   | 38.78 % | $-29,992.29
NEARUSDT     | 4h    | 15       | 33.33 %   | 29.74 % | $+277.94
AAVEUSDT     | 1h    | 72       | 30.56 %   | 19.65 % | $+17,091.10
AAVEUSDT     | 4h    | 16       | 62.50 %   |  9.05 % | $+84,696.68
FILUSDT      | 1h    | 61       | 22.95 %   | 35.99 % | $-34,781.88
FILUSDT      | 4h    | 21       | 28.57 %   | 15.02 % | $+3,177.32
RSRUSDT      | 1h    | 63       | 30.16 %   | 27.30 % | $+2,153.04
RSRUSDT      | 4h    | 18       | 33.33 %   | 29.78 % | $+11,261.54
LRCUSDT      | 1h    | 76       | 34.21 %   | 30.58 % | $+5,533.43
LRCUSDT      | 4h    | 16       | 43.75 %   | 12.94 % | $+49,143.35
BELUSDT      | 1h    | 56       | 33.93 %   | 13.14 % | $+46,508.11
BELUSDT      | 4h    | 13       | 46.15 %   | 21.23 % | $+32,047.88
AXSUSDT      | 1h    | 58       | 34.48 %   | 24.35 % | $+11,980.49
AXSUSDT      | 4h    | 17       | 29.41 %   | 11.55 % | $+20,550.98
ZENUSDT      | 1h    | 71       | 35.21 %   | 71.60 % | $-37,531.94
ZENUSDT      | 4h    | 18       | 38.89 %   | 26.05 % | $+11,883.52
SKLUSDT      | 1h    | 61       | 40.98 %   | 14.07 % | $+50,653.04
SKLUSDT      | 4h    | 11       | 36.36 %   | 15.93 % | $-4,083.07
GRTUSDT      | 1h    | 72       | 33.33 %   | 14.49 % | $+11,012.68
GRTUSDT      | 4h    | 14       | 21.43 %   | 20.02 % | $-9,182.26
1INCHUSDT    | 1h    | 62       | 29.03 %   | 44.41 % | $-27,416.15
1INCHUSDT    | 4h    | 17       | 41.18 %   |  9.35 % | $+57,482.70
CHZUSDT      | 1h    | 61       | 34.43 %   | 11.55 % | $+18,054.06
CHZUSDT      | 4h    | 19       | 31.58 %   | 11.02 % | $+41,034.80
SANDUSDT     | 1h    | 68       | 36.76 %   | 32.45 % | $+21,520.71
SANDUSDT     | 4h    | 14       | 50.00 %   |  7.79 % | $+33,434.13
ANKRUSDT     | 1h    | 50       | 30.00 %   | 11.73 % | $+4,884.69
ANKRUSDT     | 4h    | 12       | 50.00 %   | 13.47 % | $+15,212.66
RVNUSDT      | 1h    | 40       | 22.50 %   | 40.96 % | $-24,620.42
RVNUSDT      | 4h    | 11       | 18.18 %   | 32.35 % | $-29,553.48
SFPUSDT      | 1h    | 66       | 31.82 %   | 27.53 % | $-6,710.21
SFPUSDT      | 4h    | 23       |  8.70 %   | 63.00 % | $-62,999.01
COTIUSDT     | 1h    | 55       | 27.27 %   | 46.12 % | $-42,330.60
COTIUSDT     | 4h    | 13       | 30.77 %   | 27.07 % | $-1,104.73
CHRUSDT      | 1h    | 47       | 31.91 %   | 23.50 % | $+23,328.34
CHRUSDT      | 4h    | 11       | 45.45 %   |  9.12 % | $+32,201.83
MANAUSDT     | 1h    | 66       | 30.30 %   | 20.90 % | $+8,734.42
MANAUSDT     | 4h    | 10       | 30.00 %   | 17.09 % | $+9,821.45
ALICEUSDT    | 1h    | 37       | 29.73 %   | 18.91 % | $+1,125.60
ALICEUSDT    | 4h    | 10       | 40.00 %   | 18.32 % | $+49,126.22
HBARUSDT     | 1h    | 65       | 26.15 %   | 39.38 % | $-27,645.20
HBARUSDT     | 4h    | 13       | 23.08 %   | 36.01 % | $-20,857.23
ONEUSDT      | 1h    | 49       | 46.94 %   | 17.89 % | $+40,542.57
ONEUSDT      | 4h    | 10       | 50.00 %   |  7.12 % | $+38,292.56
DENTUSDT     | 1h    | 38       | 31.58 %   | 16.44 % | $+9,588.79
DENTUSDT     | 4h    | 8        | 50.00 %   | 27.22 % | $+8,702.69
CELRUSDT     | 1h    | 43       | 39.53 %   | 12.39 % | $+41,141.80
CELRUSDT     | 4h    | 10       | 20.00 %   | 30.64 % | $-30,639.82
HOTUSDT      | 1h    | 43       | 41.86 %   |  9.64 % | $+44,573.54
HOTUSDT      | 4h    | 15       | 26.67 %   | 29.01 % | $-17,793.33
MTLUSDT      | 1h    | 67       | 38.81 %   |  7.25 % | $+46,322.47
MTLUSDT      | 4h    | 16       | 37.50 %   | 13.52 % | $+2,194.72
OGNUSDT      | 1h    | 31       | 25.81 %   | 35.43 % | $-10,905.66
OGNUSDT      | 4h    | 11       | 63.64 %   | 12.89 % | $+63,672.53
1000SHIBUSDT | 1h    | 67       | 31.34 %   | 23.22 % | $-5,136.57
1000SHIBUSDT | 4h    | 14       | 28.57 %   | 14.34 % | $-11,456.38
GTCUSDT      | 1h    | 21       | 33.33 %   | 16.94 % | $+353.87
GTCUSDT      | 4h    | 2        | 100.00 %   |  0.00 % | $+19,363.81
BTCDOMUSDT   | 1h    | 64       | 45.31 %   |  9.48 % | $+11,749.78
BTCDOMUSDT   | 4h    | 18       | 44.44 %   |  2.98 % | $+9,268.38
IOTXUSDT     | 1h    | 50       | 24.00 %   | 34.83 % | $-22,820.38
IOTXUSDT     | 4h    | 14       | 35.71 %   | 18.68 % | $+1,924.15
C98USDT      | 1h    | 46       | 19.57 %   | 39.70 % | $+14,175.06
C98USDT      | 4h    | 9        | 44.44 %   | 15.28 % | $+33,443.85
MASKUSDT     | 1h    | 70       | 40.00 %   | 24.55 % | $+15,991.76
MASKUSDT     | 4h    | 12       | 41.67 %   | 20.55 % | $+22,098.26
ATAUSDT      | 1h    | 25       | 40.00 %   |  8.08 % | $+46,092.98
ATAUSDT      | 4h    | 10       | 50.00 %   | 13.02 % | $+37,408.76
DYDXUSDT     | 1h    | 43       | 37.21 %   | 13.91 % | $+31,440.31
DYDXUSDT     | 4h    | 12       |  8.33 %   | 52.18 % | $-38,627.29
1000XECUSDT  | 1h    | 57       | 31.58 %   | 11.21 % | $+1,915.98
1000XECUSDT  | 4h    | 10       | 20.00 %   |  8.47 % | $-324.32
GALAUSDT     | 1h    | 53       | 20.75 %   | 39.05 % | $-28,482.55
GALAUSDT     | 4h    | 10       | 40.00 %   | 11.00 % | $+31,513.45
CELOUSDT     | 1h    | 16       | 50.00 %   | 11.85 % | $+26,912.88
CELOUSDT     | 4h    | 4        | 25.00 %   | 15.23 % | $+3,620.48
ARUSDT       | 1h    | 66       | 36.36 %   | 15.38 % | $+45,919.59
ARUSDT       | 4h    | 22       | 18.18 %   | 51.17 % | $-29,944.18
ARPAUSDT     | 1h    | 68       | 30.88 %   | 44.65 % | $-16,784.18
ARPAUSDT     | 4h    | 20       | 40.00 %   | 17.31 % | $+45,108.09
CTSIUSDT     | 1h    | 40       | 37.50 %   | 16.07 % | $+20,163.20
CTSIUSDT     | 4h    | 8        | 25.00 %   |  9.66 % | $+11,065.31
LPTUSDT      | 1h    | 61       | 32.79 %   | 33.87 % | $+7,653.04
LPTUSDT      | 4h    | 12       | 50.00 %   | 11.61 % | $+38,766.27
ENSUSDT      | 1h    | 71       | 36.62 %   | 21.51 % | $+15,118.40
ENSUSDT      | 4h    | 16       | 37.50 %   | 14.42 % | $+30,429.93
PEOPLEUSDT   | 1h    | 46       | 32.61 %   | 14.40 % | $+31,148.60
PEOPLEUSDT   | 4h    | 13       | 30.77 %   | 24.19 % | $-1,966.22
ROSEUSDT     | 1h    | 61       | 39.34 %   | 17.78 % | $+29,358.44
ROSEUSDT     | 4h    | 15       | 13.33 %   | 24.62 % | $-24,073.64
DUSKUSDT     | 1h    | 67       | 28.36 %   | 39.25 % | $-7,990.17
DUSKUSDT     | 4h    | 15       | 26.67 %   | 35.68 % | $-23,262.34
FLOWUSDT     | 1h    | 18       | 38.89 %   |  5.83 % | $+15,886.14
FLOWUSDT     | 4h    | 4        |  0.00 %   | 25.49 % | $-25,494.53
IMXUSDT      | 1h    | 55       | 32.73 %   | 29.37 % | $+18,301.37
IMXUSDT      | 4h    | 13       | 38.46 %   | 17.41 % | $+20,984.14
API3USDT     | 1h    | 56       | 35.71 %   | 25.48 % | $-785.67
API3USDT     | 4h    | 10       | 40.00 %   | 12.10 % | $+17,752.37
