=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
POWRUSDT     | 1h    | 67       | 19.40 %   | 44.18 % | $-36,650.34
POWRUSDT     | 4h    | 10       | 40.00 %   | 13.71 % | $+2,544.89
TIAUSDT      | 1h    | 68       | 29.41 %   | 28.42 % | $+30,708.51
TIAUSDT      | 4h    | 13       | 61.54 %   |  3.96 % | $+83,449.08
CAKEUSDT     | 1h    | 59       | 25.42 %   | 44.52 % | $-24,307.79
CAKEUSDT     | 4h    | 16       | 31.25 %   | 34.68 % | $+36,449.13
MEMEUSDT     | 1h    | 55       | 34.55 %   | 21.92 % | $+33,637.06
MEMEUSDT     | 4h    | 9        | 44.44 %   | 19.19 % | $+7,418.08
TWTUSDT      | 1h    | 47       | 25.53 %   | 26.95 % | $+4,302.35
TWTUSDT      | 4h    | 13       | 38.46 %   |  9.89 % | $+36,323.01
ORDIUSDT     | 1h    | 65       | 33.85 %   | 17.49 % | $+51,934.41
ORDIUSDT     | 4h    | 16       | 31.25 %   | 19.53 % | $+11,958.66
STEEMUSDT    | 1h    | 60       | 30.00 %   | 39.35 % | $-35,356.13
STEEMUSDT    | 4h    | 20       | 45.00 %   | 17.28 % | $+9,192.48
ILVUSDT      | 1h    | 69       | 30.43 %   | 25.83 % | $+14,571.15
ILVUSDT      | 4h    | 15       | 46.67 %   | 18.75 % | $+31,823.90
NTRNUSDT     | 1h    | 55       | 36.36 %   | 20.10 % | $+51,364.80
NTRNUSDT     | 4h    | 13       | 61.54 %   |  6.00 % | $+78,731.68
KASUSDT      | 1h    | 60       | 30.00 %   | 26.98 % | $-1,288.12
KASUSDT      | 4h    | 9        | 55.56 %   |  3.64 % | $+36,577.39
BEAMXUSDT    | 1h    | 56       | 26.79 %   | 28.35 % | $+2,769.24
BEAMXUSDT    | 4h    | 15       | 40.00 %   | 15.44 % | $+33,694.69
1000BONKUSDT | 1h    | 70       | 30.00 %   | 16.46 % | $+14,537.80
1000BONKUSDT | 4h    | 16       | 37.50 %   | 31.40 % | $+13,827.76
PYTHUSDT     | 1h    | 57       | 38.60 %   | 22.61 % | $+35,294.04
PYTHUSDT     | 4h    | 9        | 22.22 %   | 17.99 % | $+5,429.18
SUPERUSDT    | 1h    | 41       | 31.71 %   | 22.53 % | $+14,784.45
SUPERUSDT    | 4h    | 14       | 28.57 %   | 17.30 % | $+10,711.51
USTCUSDT     | 1h    | 54       | 37.04 %   | 15.41 % | $+48,545.96
USTCUSDT     | 4h    | 17       | 41.18 %   | 13.13 % | $+64,275.06
ONGUSDT      | 1h    | 69       | 36.23 %   | 15.57 % | $+40,259.14
ONGUSDT      | 4h    | 12       | 33.33 %   |  9.47 % | $+2,300.91
ETHWUSDT     | 1h    | 57       | 40.35 %   |  9.71 % | $+74,379.29
ETHWUSDT     | 4h    | 12       | 33.33 %   | 12.17 % | $+8,492.60
JTOUSDT      | 1h    | 62       | 27.42 %   | 30.21 % | $-11,526.45
JTOUSDT      | 4h    | 11       | 18.18 %   | 19.09 % | $-9,473.08
1000SATSUSDT | 1h    | 26       | 46.15 %   | 10.49 % | $+43,294.40
1000SATSUSDT | 4h    | 9        | 55.56 %   | 19.86 % | $+43,464.17
AUCTIONUSDT  | 1h    | 64       | 32.81 %   | 31.12 % | $-11,335.67
AUCTIONUSDT  | 4h    | 10       | 30.00 %   | 22.04 % | $+6,048.62
1000RATSUSDT | 1h    | 68       | 35.29 %   | 28.44 % | $+25,453.21
1000RATSUSDT | 4h    | 23       | 43.48 %   | 15.31 % | $+102,924.49
ACEUSDT      | 1h    | 64       | 37.50 %   | 12.69 % | $+62,578.95
ACEUSDT      | 4h    | 16       | 37.50 %   | 20.54 % | $+12,269.34
MOVRUSDT     | 1h    | 63       | 39.68 %   | 25.80 % | $+41,809.12
MOVRUSDT     | 4h    | 28       | 42.86 %   | 13.61 % | $+83,514.99
NFPUSDT      | 1h    | 55       | 40.00 %   | 34.36 % | $+8,133.65
NFPUSDT      | 4h    | 16       | 43.75 %   | 13.03 % | $+42,897.15
AIUSDT       | 1h    | 58       | 27.59 %   | 31.68 % | $-8,210.52
AIUSDT       | 4h    | 11       | 27.27 %   | 19.39 % | $-10,602.35
XAIUSDT      | 1h    | 67       | 37.31 %   | 10.71 % | $+55,819.20
XAIUSDT      | 4h    | 7        | 28.57 %   |  7.96 % | $+23,753.65
WIFUSDT      | 1h    | 70       | 35.71 %   | 20.18 % | $+54,464.42
WIFUSDT      | 4h    | 11       | 18.18 %   | 30.78 % | $-5,111.82
MANTAUSDT    | 1h    | 70       | 41.43 %   | 17.90 % | $+75,969.29
MANTAUSDT    | 4h    | 11       | 36.36 %   | 13.59 % | $+31,068.30
ONDOUSDT     | 1h    | 66       | 34.85 %   | 25.08 % | $+18,836.04
ONDOUSDT     | 4h    | 13       | 15.38 %   | 34.11 % | $-27,673.34
LSKUSDT      | 1h    | 68       | 29.41 %   | 30.56 % | $-14,748.77
LSKUSDT      | 4h    | 17       | 35.29 %   | 32.46 % | $-3,760.91
ALTUSDT      | 1h    | 56       | 42.86 %   | 15.47 % | $+51,745.64
ALTUSDT      | 4h    | 14       | 42.86 %   | 19.31 % | $+20,553.56
JUPUSDT      | 1h    | 56       | 35.71 %   | 16.12 % | $+38,862.56
JUPUSDT      | 4h    | 13       | 38.46 %   | 13.56 % | $+20,380.44
ZETAUSDT     | 1h    | 61       | 29.51 %   | 26.87 % | $+6,671.83
ZETAUSDT     | 4h    | 13       | 23.08 %   | 35.74 % | $-6,861.52
RONINUSDT    | 1h    | 51       | 23.53 %   | 20.28 % | $-8,050.60
RONINUSDT    | 4h    | 14       | 42.86 %   |  6.05 % | $+29,418.63
DYMUSDT      | 1h    | 67       | 22.39 %   | 43.44 % | $-41,560.18
DYMUSDT      | 4h    | 11       | 27.27 %   | 26.03 % | $-10,065.39
PIXELUSDT    | 1h    | 46       | 34.78 %   | 31.70 % | $-441.81
PIXELUSDT    | 4h    | 9        | 33.33 %   |  9.57 % | $+11,323.77
STRKUSDT     | 1h    | 49       | 28.57 %   | 37.23 % | $-21,490.94
STRKUSDT     | 4h    | 11       | 27.27 %   | 17.94 % | $-6,294.88
GLMUSDT      | 1h    | 66       | 28.79 %   | 32.75 % | $-25,175.72
GLMUSDT      | 4h    | 22       | 18.18 %   | 44.83 % | $-44,834.46
PORTALUSDT   | 1h    | 62       | 46.77 %   |  9.17 % | $+93,914.42
PORTALUSDT   | 4h    | 18       | 50.00 %   | 18.76 % | $+46,332.99
TONUSDT      | 1h    | 60       | 33.33 %   | 10.29 % | $+30,926.40
TONUSDT      | 4h    | 14       | 28.57 %   | 12.63 % | $+3,020.67
AXLUSDT      | 1h    | 42       | 33.33 %   | 14.51 % | $+21,943.63
AXLUSDT      | 4h    | 13       | 15.38 %   | 44.24 % | $-5,162.95
METISUSDT    | 1h    | 50       | 44.00 %   | 11.77 % | $+56,062.72
METISUSDT    | 4h    | 15       | 40.00 %   | 27.93 % | $+9,639.58
AEVOUSDT     | 1h    | 57       | 38.60 %   | 28.01 % | $+63,043.90
AEVOUSDT     | 4h    | 10       | 50.00 %   | 15.34 % | $+26,690.20
VANRYUSDT    | 1h    | 52       | 32.69 %   | 16.75 % | $+43,537.71
VANRYUSDT    | 4h    | 11       | 54.55 %   |  9.65 % | $+44,605.39
BOMEUSDT     | 1h    | 54       | 42.59 %   | 12.87 % | $+80,780.91
BOMEUSDT     | 4h    | 10       | 30.00 %   | 20.39 % | $-2,952.75
ETHFIUSDT    | 1h    | 59       | 37.29 %   | 11.63 % | $+63,747.79
ETHFIUSDT    | 4h    | 16       | 31.25 %   | 13.49 % | $+15,260.46
ENAUSDT      | 1h    | 61       | 18.03 %   | 40.11 % | $-29,786.28
ENAUSDT      | 4h    | 21       | 42.86 %   | 15.91 % | $+43,664.99
WUSDT        | 1h    | 60       | 31.67 %   | 24.74 % | $+7,671.16
WUSDT        | 4h    | 10       | 30.00 %   | 12.96 % | $+5,304.26
TNSRUSDT     | 1h    | 54       | 18.52 %   | 58.68 % | $-46,927.68
TNSRUSDT     | 4h    | 14       | 28.57 %   | 17.50 % | $+5,710.60
SAGAUSDT     | 1h    | 56       | 30.36 %   | 35.08 % | $-19,474.60
SAGAUSDT     | 4h    | 14       | 28.57 %   | 29.80 % | $+15,549.15
TAOUSDT      | 1h    | 71       | 29.58 %   | 45.01 % | $-10,366.16
TAOUSDT      | 4h    | 14       | 35.71 %   | 17.17 % | $+1,862.04
REZUSDT      | 1h    | 49       | 26.53 %   | 17.53 % | $+23,071.48
REZUSDT      | 4h    | 7        | 28.57 %   | 16.22 % | $+5,289.81
BBUSDT       | 1h    | 53       | 22.64 %   | 51.44 % | $-42,659.03
BBUSDT       | 4h    | 15       | 20.00 %   | 28.22 % | $-23,394.86
NOTUSDT      | 1h    | 63       | 28.57 %   | 33.78 % | $-2,411.88
NOTUSDT      | 4h    | 11       | 45.45 %   |  7.14 % | $+48,023.88
TURBOUSDT    | 1h    | 58       | 31.03 %   | 52.31 % | $-3,471.49
TURBOUSDT    | 4h    | 14       | 14.29 %   | 35.14 % | $-17,806.11
IOUSDT       | 1h    | 78       | 25.64 %   | 45.19 % | $-20,246.35
IOUSDT       | 4h    | 16       | 25.00 %   | 20.73 % | $+7,645.77
ZKUSDT       | 1h    | 60       | 28.33 %   | 36.51 % | $-16,281.88
ZKUSDT       | 4h    | 3        | 33.33 %   |  6.43 % | $+1,064.53
MEWUSDT      | 1h    | 48       | 31.25 %   | 35.06 % | $-11,867.29
MEWUSDT      | 4h    | 12       | 58.33 %   | 26.38 % | $+46,110.77
LISTAUSDT    | 1h    | 61       | 37.70 %   | 19.68 % | $+60,696.74
LISTAUSDT    | 4h    | 11       | 27.27 %   | 18.94 % | $+21,503.68
ZROUSDT      | 1h    | 57       | 29.82 %   | 18.18 % | $+5,613.19
ZROUSDT      | 4h    | 15       | 26.67 %   | 30.50 % | $-4,800.45
RENDERUSDT   | 1h    | 59       | 30.51 %   | 33.14 % | $-10,588.55
RENDERUSDT   | 4h    | 10       | 10.00 %   | 28.95 % | $-22,574.04
BANANAUSDT   | 1h    | 56       | 35.71 %   | 13.92 % | $+47,760.55
BANANAUSDT   | 4h    | 10       | 20.00 %   | 23.72 % | $-17,674.14
RAREUSDT     | 1h    | 66       | 33.33 %   | 37.15 % | $+6,800.35
RAREUSDT     | 4h    | 10       | 70.00 %   |  7.14 % | $+79,328.46
GUSDT        | 1h    | 53       | 28.30 %   | 13.66 % | $+7,146.38
GUSDT        | 4h    | 14       | 28.57 %   | 15.62 % | $+1,327.23
SYNUSDT      | 1h    | 57       | 40.35 %   | 24.98 % | $+44,197.53
SYNUSDT      | 4h    | 8        | 12.50 %   | 45.77 % | $-45,771.54
SYSUSDT      | 1h    | 63       | 28.57 %   | 32.72 % | $-16,849.99
SYSUSDT      | 4h    | 10       | 20.00 %   | 15.34 % | $+1,787.22
BRETTUSDT    | 1h    | 61       | 40.98 %   | 15.23 % | $+126,231.12
BRETTUSDT    | 4h    | 10       | 10.00 %   | 51.65 % | $-51,650.29
POPCATUSDT   | 1h    | 57       | 29.82 %   | 22.43 % | $+9,191.89
POPCATUSDT   | 4h    | 14       | 35.71 %   | 24.30 % | $+20,196.07
SUNUSDT      | 1h    | 46       | 34.78 %   | 20.92 % | $-6,788.66
SUNUSDT      | 4h    | 9        | 11.11 %   | 21.37 % | $-15,825.81
DOGSUSDT     | 1h    | 41       | 26.83 %   | 42.37 % | $-37,260.62
DOGSUSDT     | 4h    | 13       | 23.08 %   | 38.71 % | $-33,848.44
MBOXUSDT     | 1h    | 52       | 34.62 %   | 31.71 % | $-8,747.70
MBOXUSDT     | 4h    | 8        | 37.50 %   |  6.23 % | $+22,583.71
FLUXUSDT     | 1h    | 49       | 28.57 %   | 11.60 % | $+11,968.46
FLUXUSDT     | 4h    | 12       | 50.00 %   | 15.47 % | $+33,485.12
RPLUSDT      | 1h    | 61       | 22.95 %   | 66.32 % | $-56,262.47
RPLUSDT      | 4h    | 13       | 30.77 %   | 57.89 % | $-30,606.33
POLUSDT      | 1h    | 58       | 29.31 %   | 15.37 % | $+7,292.89
POLUSDT      | 4h    | 9        | 33.33 %   | 22.08 % | $-137.70
1MBABYDOGEUSDT | 1h    | 52       | 25.00 %   | 38.82 % | $-25,297.75
1MBABYDOGEUSDT | 4h    | 7        | 57.14 %   |  4.83 % | $+55,099.98
NEIROUSDT    | 1h    | 58       | 36.21 %   | 19.39 % | $+43,595.93
NEIROUSDT    | 4h    | 15       | 20.00 %   | 22.11 % | $+2,029.83
FIDAUSDT     | 1h    | 59       | 27.12 %   | 38.14 % | $-2,519.63
FIDAUSDT     | 4h    | 15       | 40.00 %   | 37.27 % | $-5,444.62
FIOUSDT      | 1h    | 52       | 36.54 %   | 11.18 % | $+50,045.65
FIOUSDT      | 4h    | 11       | 54.55 %   | 11.27 % | $+27,914.72
CATIUSDT     | 1h    | 72       | 38.89 %   | 21.14 % | $+26,663.47
CATIUSDT     | 4h    | 19       | 42.11 %   | 47.07 % | $-31,441.14
HMSTRUSDT    | 1h    | 64       | 53.12 %   |  9.62 % | $+146,615.62
HMSTRUSDT    | 4h    | 9        | 22.22 %   | 11.75 % | $+5,479.42
COSUSDT      | 1h    | 67       | 35.82 %   | 19.81 % | $+29,859.15
COSUSDT      | 4h    | 15       | 20.00 %   | 35.82 % | $-35,819.09
EIGENUSDT    | 1h    | 66       | 30.30 %   | 25.78 % | $+22,166.25
EIGENUSDT    | 4h    | 13       | 23.08 %   | 32.07 % | $-9,693.55
DIAUSDT      | 1h    | 60       | 48.33 %   | 11.66 % | $+84,019.53
DIAUSDT      | 4h    | 12       |  8.33 %   | 51.12 % | $-46,150.63
1000CATUSDT  | 1h    | 45       | 31.11 %   | 33.90 % | $-12,646.13
1000CATUSDT  | 4h    | 9        | 22.22 %   | 19.96 % | $-9,147.35
SCRUSDT      | 1h    | 54       | 29.63 %   | 34.68 % | $+9,551.63
SCRUSDT      | 4h    | 11       | 45.45 %   | 12.90 % | $+18,238.40
GOATUSDT     | 1h    | 57       | 29.82 %   | 72.70 % | $-46,478.74
GOATUSDT     | 4h    | 11       | 27.27 %   | 25.29 % | $-1,376.90
MOODENGUSDT  | 1h    | 65       | 29.23 %   | 26.57 % | $+10,949.30
MOODENGUSDT  | 4h    | 12       | 16.67 %   | 39.39 % | $-21,816.69
SAFEUSDT     | 1h    | 61       | 36.07 %   | 17.69 % | $+22,232.59
SAFEUSDT     | 4h    | 10       | 40.00 %   |  7.38 % | $+11,807.84
SANTOSUSDT   | 1h    | 60       | 38.33 %   | 14.64 % | $+53,786.57
SANTOSUSDT   | 4h    | 11       | 18.18 %   | 21.54 % | $-1,874.98
COWUSDT      | 1h    | 51       | 23.53 %   | 27.16 % | $-17,934.38
COWUSDT      | 4h    | 16       | 37.50 %   | 13.18 % | $+34,708.25
CETUSUSDT    | 1h    | 65       | 33.85 %   | 13.28 % | $+34,104.69
CETUSUSDT    | 4h    | 14       | 28.57 %   | 16.04 % | $+15,188.86
1000000MOGUSDT | 1h    | 69       | 31.88 %   | 17.51 % | $+33,086.94
1000000MOGUSDT | 4h    | 13       | 38.46 %   | 16.27 % | $+35,743.06
GRASSUSDT    | 1h    | 58       | 36.21 %   | 15.22 % | $+100,373.24
GRASSUSDT    | 4h    | 11       | 27.27 %   | 24.71 % | $+8,208.43
DRIFTUSDT    | 1h    | 53       | 22.64 %   | 48.93 % | $-44,667.41
DRIFTUSDT    | 4h    | 15       | 40.00 %   | 13.29 % | $+51,627.02
ACTUSDT      | 1h    | 64       | 35.94 %   | 51.20 % | $-29,657.17
ACTUSDT      | 4h    | 13       | 30.77 %   | 53.70 % | $-27,744.91
PNUTUSDT     | 1h    | 55       | 27.27 %   | 38.32 % | $-30,213.42
PNUTUSDT     | 4h    | 15       | 13.33 %   | 35.99 % | $-33,395.23
HIPPOUSDT    | 1h    | 56       | 37.50 %   | 61.63 % | $+32,789.24
HIPPOUSDT    | 4h    | 13       | 23.08 %   | 20.31 % | $-2,084.80
DEGENUSDT    | 1h    | 53       | 18.87 %   | 77.05 % | $-73,619.51
DEGENUSDT    | 4h    | 9        | 11.11 %   | 51.32 % | $-43,127.27
BANUSDT      | 1h    | 61       | 34.43 %   | 34.31 % | $+3,648.90
BANUSDT      | 4h    | 19       | 21.05 %   | 52.84 % | $-49,790.60
AKTUSDT      | 1h    | 46       | 19.57 %   | 48.09 % | $-43,176.23
AKTUSDT      | 4h    | 17       | 47.06 %   | 15.92 % | $+41,216.91
SCRTUSDT     | 1h    | 61       | 36.07 %   | 17.78 % | $+43,730.66
SCRTUSDT     | 4h    | 19       | 36.84 %   | 11.75 % | $+47,228.59
1000CHEEMSUSDT | 1h    | 64       | 29.69 %   | 31.96 % | $+1,095.55
1000CHEEMSUSDT | 4h    | 16       | 43.75 %   | 12.60 % | $+42,540.79
1000WHYUSDT  | 1h    | 33       | 36.36 %   | 25.85 % | $-229.43
1000WHYUSDT  | 4h    | 7        | 14.29 %   | 56.55 % | $+8,109.68
THEUSDT      | 1h    | 58       | 29.31 %   | 31.22 % | $-2,970.44
THEUSDT      | 4h    | 13       | 38.46 %   | 16.77 % | $+38,429.60
MORPHOUSDT   | 1h    | 77       | 35.06 %   | 28.07 % | $+3,519.18
MORPHOUSDT   | 4h    | 21       | 28.57 %   | 27.11 % | $-27,107.21
CHILLGUYUSDT | 1h    | 57       | 28.07 %   | 33.94 % | $+20,950.00
CHILLGUYUSDT | 4h    | 11       | 18.18 %   | 36.30 % | $-13,831.04
KAIAUSDT     | 1h    | 38       | 39.47 %   |  8.77 % | $+23,955.91
KAIAUSDT     | 4h    | 13       | 30.77 %   | 30.95 % | $-26,360.94
AEROUSDT     | 1h    | 57       | 31.58 %   | 18.94 % | $+21,748.12
AEROUSDT     | 4h    | 9        | 22.22 %   | 50.87 % | $-35,825.03
ACXUSDT      | 1h    | 52       | 28.85 %   | 53.39 % | $-32,250.44
ACXUSDT      | 4h    | 11       | 36.36 %   | 27.69 % | $-3,859.85
ORCAUSDT     | 1h    | 57       | 38.60 %   | 11.02 % | $+70,713.48
ORCAUSDT     | 4h    | 14       | 35.71 %   | 19.21 % | $-689.69
MOVEUSDT     | 1h    | 55       | 18.18 %   | 86.54 % | $-85,641.35
MOVEUSDT     | 4h    | 12       |  8.33 %   | 51.82 % | $-39,949.81
RAYSOLUSDT   | 1h    | 71       | 32.39 %   | 22.65 % | $+67,075.80
RAYSOLUSDT   | 4h    | 7        | 14.29 %   | 28.76 % | $-28,760.48
KOMAUSDT     | 1h    | 50       | 42.00 %   | 35.12 % | $+57,675.14
KOMAUSDT     | 4h    | 13       | 53.85 %   | 28.70 % | $+62,695.11
VIRTUALUSDT  | 1h    | 58       | 37.93 %   | 12.58 % | $+70,797.84
VIRTUALUSDT  | 4h    | 14       | 35.71 %   | 22.79 % | $+11,290.11
SPXUSDT      | 1h    | 63       | 19.05 %   | 70.72 % | $-69,571.66
SPXUSDT      | 4h    | 10       | 30.00 %   | 20.37 % | $-2,439.82
MEUSDT       | 1h    | 57       | 38.60 %   | 10.46 % | $+56,120.17
MEUSDT       | 4h    | 17       | 23.53 %   | 30.57 % | $-21,799.63
AVAUSDT      | 1h    | 66       | 21.21 %   | 61.51 % | $-55,750.35
AVAUSDT      | 4h    | 20       | 35.00 %   | 24.02 % | $-5,228.98
DEGOUSDT     | 1h    | 62       | 32.26 %   | 58.83 % | $-49,033.28
DEGOUSDT     | 4h    | 17       | 47.06 %   | 23.90 % | $+108,140.85
VELODROMEUSDT | 1h    | 51       | 43.14 %   | 11.94 % | $+54,210.20
VELODROMEUSDT | 4h    | 7        | 42.86 %   |  5.14 % | $+21,220.47
MOCAUSDT     | 1h    | 66       | 31.82 %   | 33.63 % | $+8,478.83
MOCAUSDT     | 4h    | 20       | 35.00 %   | 15.58 % | $+40,028.05
VANAUSDT     | 1h    | 69       | 42.03 %   | 36.78 % | $+53,786.52
VANAUSDT     | 4h    | 13       | 46.15 %   | 12.24 % | $+42,495.04
PENGUUSDT    | 1h    | 58       | 25.86 %   | 45.57 % | $-22,125.99
PENGUUSDT    | 4h    | 13       | 38.46 %   | 22.23 % | $+19,513.85
LUMIAUSDT    | 1h    | 51       | 31.37 %   | 28.82 % | $+13,313.89
LUMIAUSDT    | 4h    | 11       | 27.27 %   | 22.70 % | $-11,143.42
USUALUSDT    | 1h    | 56       | 32.14 %   | 45.42 % | $-4,120.85
USUALUSDT    | 4h    | 14       | 50.00 %   | 14.43 % | $+64,352.34
AIXBTUSDT    | 1h    | 63       | 25.40 %   | 48.17 % | $-19,464.30
AIXBTUSDT    | 4h    | 12       | 33.33 %   | 22.48 % | $+3,923.38
FARTCOINUSDT | 1h    | 60       | 25.00 %   | 81.26 % | $-23,920.11
FARTCOINUSDT | 4h    | 18       | 22.22 %   | 63.28 % | $-63,275.71
KMNOUSDT     | 1h    | 73       | 35.62 %   | 14.41 % | $+34,894.17
KMNOUSDT     | 4h    | 17       | 35.29 %   |  8.46 % | $+47,634.19
CGPTUSDT     | 1h    | 60       | 36.67 %   | 18.32 % | $+42,689.63
CGPTUSDT     | 4h    | 8        | 12.50 %   | 46.74 % | $-41,595.66
HIVEUSDT     | 1h    | 75       | 38.67 %   | 14.76 % | $+59,504.43
HIVEUSDT     | 4h    | 12       | 50.00 %   |  7.11 % | $+51,807.67
DEXEUSDT     | 1h    | 69       | 39.13 %   | 13.06 % | $+70,543.41
DEXEUSDT     | 4h    | 15       | 26.67 %   | 36.78 % | $-17,546.09
PHAUSDT      | 1h    | 63       | 34.92 %   | 14.74 % | $+67,921.15
PHAUSDT      | 4h    | 13       | 53.85 %   | 13.06 % | $+41,263.73
GRIFFAINUSDT | 1h    | 51       | 35.29 %   | 18.37 % | $+58,392.76
GRIFFAINUSDT | 4h    | 15       | 40.00 %   | 17.91 % | $+66,170.30
ZEREBROUSDT  | 1h    | 56       | 28.57 %   | 56.42 % | $-37,943.72
ZEREBROUSDT  | 4h    | 14       | 42.86 %   | 11.27 % | $+65,626.12
BIOUSDT      | 1h    | 62       | 25.81 %   | 26.50 % | $-14,509.58
BIOUSDT      | 4h    | 13       | 53.85 %   | 19.15 % | $+34,070.60
COOKIEUSDT   | 1h    | 63       | 36.51 %   | 34.44 % | $+55,093.93
COOKIEUSDT   | 4h    | 11       | 72.73 %   |  6.72 % | $+113,398.13
ALCHUSDT     | 1h    | 55       | 45.45 %   | 35.66 % | $+73,235.56
ALCHUSDT     | 4h    | 13       | 30.77 %   | 55.83 % | $-13,532.35
SWARMSUSDT   | 1h    | 53       | 26.42 %   | 51.83 % | $-31,604.77
SWARMSUSDT   | 4h    | 14       | 50.00 %   | 27.94 % | $+98,562.73
SONICUSDT    | 1h    | 62       | 32.26 %   | 18.24 % | $+28,732.66
SONICUSDT    | 4h    | 10       | 70.00 %   |  4.01 % | $+56,662.02
DUSDT        | 1h    | 59       | 37.29 %   | 20.50 % | $+35,409.00
DUSDT        | 4h    | 16       | 31.25 %   | 27.67 % | $-2,601.77
PROMUSDT     | 1h    | 67       | 38.81 %   | 23.24 % | $-10,742.90
PROMUSDT     | 4h    | 19       | 47.37 %   | 15.11 % | $+31,355.44
SUSDT        | 1h    | 63       | 36.51 %   | 10.80 % | $+67,628.02
SUSDT        | 4h    | 14       | 50.00 %   |  7.27 % | $+65,682.13
SOLVUSDT     | 1h    | 59       | 38.98 %   | 16.38 % | $+36,098.92
SOLVUSDT     | 4h    | 18       | 38.89 %   | 24.26 % | $+1,073.78
ARCUSDT      | 1h    | 62       | 25.81 %   | 107.83 % | $+17,375.27
ARCUSDT      | 4h    | 10       | 20.00 %   | 38.00 % | $-13,250.42
AVAAIUSDT    | 1h    | 59       | 37.29 %   | 27.69 % | $+111,160.48
AVAAIUSDT    | 4h    | 10       | 40.00 %   | 16.17 % | $+28,656.76
TRUMPUSDT    | 1h    | 49       | 28.57 %   | 22.99 % | $+744.30
TRUMPUSDT    | 4h    | 9        | 22.22 %   | 14.65 % | $-4,218.31
MELANIAUSDT  | 1h    | 51       | 27.45 %   | 31.99 % | $-13,135.18
MELANIAUSDT  | 4h    | 11       | 18.18 %   | 32.94 % | $-32,941.38
VTHOUSDT     | 1h    | 48       | 45.83 %   | 10.09 % | $+53,522.42
VTHOUSDT     | 4h    | 14       | 42.86 %   | 17.01 % | $+20,679.37
ANIMEUSDT    | 1h    | 47       | 17.02 %   | 73.28 % | $-64,978.49
ANIMEUSDT    | 4h    | 15       | 33.33 %   | 15.31 % | $+22,247.21
VINEUSDT     | 1h    | 51       | 37.25 %   | 29.07 % | $+77,458.33
VINEUSDT     | 4h    | 14       | 50.00 %   | 48.71 % | $+30,639.17
PIPPINUSDT   | 1h    | 71       | 30.99 %   | 34.75 % | $+158,639.78
PIPPINUSDT   | 4h    | 22       | 36.36 %   | 60.89 % | $-30,432.91
VVVUSDT      | 1h    | 59       | 23.73 %   | 51.53 % | $-11,582.83
VVVUSDT      | 4h    | 14       | 14.29 %   | 64.10 % | $-61,545.00
BERAUSDT     | 1h    | 55       | 27.27 %   | 61.88 % | $-19,631.94
BERAUSDT     | 4h    | 12       | 41.67 %   |  9.10 % | $+44,551.54
TSTUSDT      | 1h    | 63       | 30.16 %   | 31.64 % | $+982.12
TSTUSDT      | 4h    | 25       | 48.00 %   | 11.66 % | $+105,883.47
LAYERUSDT    | 1h    | 50       | 26.00 %   | 40.76 % | $-7,728.65
LAYERUSDT    | 4h    | 11       | 45.45 %   | 10.68 % | $+28,891.82
HEIUSDT      | 1h    | 61       | 34.43 %   | 19.34 % | $+18,598.41
HEIUSDT      | 4h    | 19       | 26.32 %   | 29.38 % | $-25,356.06
B3USDT       | 1h    | 59       | 25.42 %   | 28.78 % | $+1,400.64
B3USDT       | 4h    | 19       | 31.58 %   | 26.80 % | $+7,963.93
IPUSDT       | 1h    | 69       | 33.33 %   | 24.08 % | $-6,693.97
IPUSDT       | 4h    | 10       | 40.00 %   | 15.54 % | $+48,868.72
GPSUSDT      | 1h    | 63       | 34.92 %   | 21.73 % | $+46,201.56
GPSUSDT      | 4h    | 14       | 28.57 %   | 27.40 % | $+18,693.55
SHELLUSDT    | 1h    | 58       | 36.21 %   | 19.63 % | $+77,043.42
SHELLUSDT    | 4h    | 14       | 35.71 %   | 15.55 % | $+21,488.31
KAITOUSDT    | 1h    | 70       | 21.43 %   | 59.12 % | $-44,602.67
KAITOUSDT    | 4h    | 13       | 15.38 %   | 34.20 % | $-10,119.77
REDUSDT      | 1h    | 65       | 23.08 %   | 68.37 % | $-68,367.29
REDUSDT      | 4h    | 14       | 21.43 %   | 49.61 % | $-21,781.50
VICUSDT      | 1h    | 63       | 38.10 %   | 10.84 % | $+66,469.70
VICUSDT      | 4h    | 14       | 35.71 %   | 20.47 % | $+23,823.02
EPICUSDT     | 1h    | 62       | 50.00 %   | 13.68 % | $+151,758.34
EPICUSDT     | 4h    | 14       | 57.14 %   | 11.96 % | $+45,421.57
BMTUSDT      | 1h    | 50       | 34.00 %   |  9.15 % | $+45,529.74
BMTUSDT      | 4h    | 12       | 41.67 %   | 19.29 % | $+49,462.80
MUBARAKUSDT  | 1h    | 54       | 38.89 %   | 14.11 % | $+79,154.37
MUBARAKUSDT  | 4h    | 12       | 66.67 %   |  5.23 % | $+93,879.48
FORMUSDT     | 1h    | 61       | 39.34 %   | 17.74 % | $+37,112.02
FORMUSDT     | 4h    | 7        |  0.00 %   | 37.14 % | $-37,143.16
TUTUSDT      | 1h    | 68       | 25.00 %   | 73.61 % | $-65,259.14
TUTUSDT      | 4h    | 18       | 33.33 %   | 50.79 % | $-25,275.22
