=====================================================================================
🧠 SMC BTC HYPERPARAMETER ERGEBNISSE | Sortiert nach Profit
=====================================================================================
SL %     | EMA   | R:R    | Trades | Win Rate  | Max DD  | Netto PnL   
 0.40%  | 9     | 1.50   | 13     |  61.54 % |  2.98% | $+4,188.57
 0.75%  | 21    | 1.25   | 6      |  66.67 % |  1.54% | $+3,994.10
 0.75%  | 12    | 1.25   | 6      |  66.67 % |  1.53% | $+3,772.92
 0.75%  | 15    | 1.25   | 6      |  66.67 % |  1.53% | $+3,772.92
 0.40%  | 9     | 1.15   | 19     |  57.89 % |  3.60% | $+3,756.84
 0.50%  | 9     | 1.25   | 13     |  61.54 % |  3.35% | $+3,688.72
 1.00%  | 21    | 1.00   | 6      |  66.67 % |  1.79% | $+3,492.19
 0.40%  | 9     | 1.25   | 16     |  56.25 % |  3.61% | $+3,439.68
 1.00%  | 25    | 0.90   | 8      |  62.50 % |  2.85% | $+3,389.09
 1.00%  | 29    | 0.90   | 8      |  62.50 % |  2.85% | $+3,389.09
 1.00%  | 33    | 0.90   | 8      |  62.50 % |  2.85% | $+3,389.09
 1.00%  | 21    | 1.25   | 4      |  75.00 % |  1.79% | $+3,362.34
 1.00%  | 25    | 1.25   | 4      |  75.00 % |  1.79% | $+3,362.34
 1.00%  | 29    | 1.25   | 4      |  75.00 % |  1.79% | $+3,362.34
 1.00%  | 33    | 1.25   | 4      |  75.00 % |  1.79% | $+3,362.34
 0.40%  | 9     | 1.00   | 20     |  55.00 % |  3.62% | $+3,205.33
 1.25%  | 21    | 1.00   | 4      |  75.00 % |  2.04% | $+3,110.51
 1.25%  | 25    | 1.00   | 4      |  75.00 % |  2.04% | $+3,110.51
 1.25%  | 29    | 1.00   | 4      |  75.00 % |  2.04% | $+3,110.51
 1.25%  | 33    | 1.00   | 4      |  75.00 % |  2.04% | $+3,110.51
 0.40%  | 9     | 0.90   | 24     |  54.17 % |  4.13% | $+3,026.78
 1.25%  | 21    | 0.90   | 6      |  66.67 % |  2.16% | $+2,990.29
 0.75%  | 21    | 1.15   | 7      |  57.14 % |  1.54% | $+2,964.66
 0.50%  | 9     | 0.90   | 19     |  57.89 % |  4.17% | $+2,957.90
 0.50%  | 9     | 1.00   | 19     |  57.89 % |  4.17% | $+2,957.90
 1.50%  | 21    | 0.90   | 4      |  75.00 % |  2.29% | $+2,858.68
 1.50%  | 25    | 0.90   | 4      |  75.00 % |  2.29% | $+2,858.68
 1.50%  | 29    | 0.90   | 4      |  75.00 % |  2.29% | $+2,858.68
 1.50%  | 33    | 0.90   | 4      |  75.00 % |  2.29% | $+2,858.68
 1.25%  | 12    | 0.90   | 6      |  66.67 % |  2.19% | $+2,770.52
 1.25%  | 15    | 0.90   | 6      |  66.67 % |  2.19% | $+2,770.52
 0.75%  | 9     | 1.00   | 11     |  63.64 % |  3.47% | $+2,765.82
 0.75%  | 21    | 1.50   | 5      |  60.00 % |  2.39% | $+2,755.21
 0.75%  | 25    | 1.25   | 5      |  60.00 % |  2.39% | $+2,755.21
 0.75%  | 25    | 1.50   | 5      |  60.00 % |  2.39% | $+2,755.21
 0.75%  | 29    | 1.25   | 5      |  60.00 % |  2.39% | $+2,755.21
 0.75%  | 29    | 1.50   | 5      |  60.00 % |  2.39% | $+2,755.21
 0.75%  | 33    | 1.25   | 5      |  60.00 % |  2.39% | $+2,755.21
 0.75%  | 33    | 1.50   | 5      |  60.00 % |  2.39% | $+2,755.21
 1.00%  | 12    | 0.90   | 10     |  60.00 % |  3.42% | $+2,746.05
 1.00%  | 15    | 0.90   | 10     |  60.00 % |  3.42% | $+2,746.05
 0.50%  | 9     | 1.15   | 16     |  56.25 % |  4.09% | $+2,740.38
 0.75%  | 12    | 1.50   | 5      |  60.00 % |  1.55% | $+2,534.04
 0.75%  | 15    | 1.50   | 5      |  60.00 % |  1.55% | $+2,534.04
 1.25%  | 12    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.25%  | 15    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.25%  | 21    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.25%  | 25    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.25%  | 29    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.25%  | 33    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 12    | 1.25   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 12    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 15    | 1.25   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 15    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
