===========================================================================
📊 SMC MASS BACKTEST | Margin: $1,000 | SL: 0.4%
===========================================================================
Coin            | Trades   | Win Rate   | Max DD   | Netto PnL   
ARUSDT          | 10       | 40.00 %   |  3.00 % | $+4,041.79
ARPAUSDT        | 15       | 26.67 %   |  7.00 % | $-2,070.36
CTSIUSDT        | 7        | 42.86 %   |  1.79 % | $+5,338.31
LPTUSDT         | 13       | 30.77 %   |  5.70 % | $+1,434.12
ENSUSDT         | 9        | 44.44 %   |  3.08 % | $+4,383.36
PEOPLEUSDT      | 8        | 12.50 %   |  6.77 % | $-6,770.38
ROSEUSDT        | 12       | 16.67 %   |  3.80 % | $-3,388.64
DUSKUSDT        | 11       | 36.36 %   |  4.40 % | $+3,868.46
FLOWUSDT        | 6        | 66.67 %   |  1.40 % | $+7,620.92
IMXUSDT         | 7        | 14.29 %   |  4.11 % | $-4,110.35
API3USDT        | 3        |  0.00 %   |  2.62 % | $-2,622.67
GMTUSDT         | 8        | 25.00 %   |  3.70 % | $-110.23
APEUSDT         | 17       | 41.18 %   |  2.86 % | $+5,349.25
WOOUSDT         | 11       |  0.00 %   | 10.74 % | $-10,744.98
JASMYUSDT       | 14       | 64.29 %   |  1.45 % | $+19,254.27
OPUSDT          | 9        | 33.33 %   |  3.37 % | $+3,376.08
INJUSDT         | 16       | 18.75 %   | 10.27 % | $-7,766.94
STGUSDT         | 11       | 36.36 %   |  4.88 % | $-2,305.06
SPELLUSDT       | 15       | 13.33 %   |  7.66 % | $-7,661.17
1000LUNCUSDT    | 9        | 11.11 %   |  6.35 % | $-4,745.08
LUNA2USDT       | 9        | 22.22 %   |  2.72 % | $-957.45
LDOUSDT         | 11       | 45.45 %   |  2.47 % | $+9,570.08
ICPUSDT         | 10       | 20.00 %   |  5.66 % | $-550.78
APTUSDT         | 7        | 14.29 %   |  3.24 % | $-3,135.27
QNTUSDT         | 10       | 20.00 %   |  4.13 % | $-3,902.62
FETUSDT         | 13       | 38.46 %   |  2.16 % | $+3,819.66
HOOKUSDT        | 7        | 14.29 %   |  3.15 % | $-2,830.46
MAGICUSDT       | 12       |  8.33 %   |  9.29 % | $-6,280.16
TUSDT           | 10       | 20.00 %   |  7.32 % | $-5,183.62
HIGHUSDT        | 9        | 44.44 %   |  2.54 % | $-355.05
MINAUSDT        | 14       |  7.14 %   | 11.25 % | $+3,303.80
