===========================================================================
📊 SMC MASS BACKTEST | Margin: $1,000 | SL: 0.4%
===========================================================================
Coin            | Trades   | Win Rate   | Max DD   | Netto PnL   
DOODUSDT        | 9        | 55.56 %   |  2.53 % | $+15,632.79
OGUSDT          | 6        |  0.00 %   |  4.34 % | $-4,339.82
ZKJUSDT         | 4        |  0.00 %   | 11.93 % | $-11,930.93
SKYAIUSDT       | 6        | 50.00 %   |  3.03 % | $+2,569.52
NXPCUSDT        | 8        | 37.50 %   |  3.50 % | $-1,051.83
CVCUSDT         | 16       | 37.50 %   |  2.42 % | $+6,504.26
AGTUSDT         | 6        | 16.67 %   |  3.92 % | $-1,055.93
AWEUSDT         | 7        | 57.14 %   |  0.81 % | $+6,076.91
BUSDT           | 2        | 50.00 %   |  0.73 % | $+7,884.82
SOONUSDT        | 1        |  0.00 %   |  1.88 % | $-1,879.59
HUMAUSDT        | 7        | 14.29 %   |  5.40 % | $-5,403.37
AUSDT           | 12       | 16.67 %   |  5.88 % | $+6,671.83
SOPHUSDT        | 6        |  0.00 %   |  5.48 % | $-5,482.62
MERLUSDT        | 7        | 14.29 %   |  6.58 % | $-6,581.08
HYPEUSDT        | 8        | 25.00 %   |  2.96 % | $-1,550.09
BDXNUSDT        | 5        | 40.00 %   |  3.90 % | $+10,424.98
PUFFERUSDT      | 6        | 16.67 %   |  4.14 % | $-1,214.83
1000000BOBUSDT  | 3        |  0.00 %   |  3.74 % | $-3,737.14
LAUSDT          | 4        |  0.00 %   |  3.80 % | $-3,795.44
HOMEUSDT        | 7        | 14.29 %   |  4.78 % | $-3,697.66
RESOLVUSDT      | 7        | 42.86 %   |  2.74 % | $-22.13
TAIKOUSDT       | 6        | 33.33 %   |  2.48 % | $+649.96
SQDUSDT         | 6        | 16.67 %   |  4.54 % | $-4,250.78
PUMPBTCUSDT     | 2        | 50.00 %   |  1.10 % | $+862.17
SPKUSDT         | 8        | 50.00 %   |  3.09 % | $+3,607.10
MYXUSDT         | 3        |  0.00 %   |  6.98 % | $-6,975.06
FUSDT           | 5        |  0.00 %   |  6.32 % | $-6,315.23
NEWTUSDT        | 8        | 25.00 %   |  3.42 % | $+1,687.00
HUSDT           | 6        | 16.67 %   |  5.39 % | $-2,713.27
OLUSDT          | 4        | 25.00 %   |  1.99 % | $-1,692.45
SAHARAUSDT      | 5        | 40.00 %   |  3.71 % | $-579.98
ICNTUSDT        | 4        |  0.00 %   |  3.23 % | $-3,230.13
BULLAUSDT       | 4        |  0.00 %   |  6.84 % | $-6,841.72
IDOLUSDT        | 5        | 40.00 %   |  2.61 % | $+692.75
MUSDT           | 2        | 100.00 %   |  0.00 % | $+3,308.34
PUMPUSDT        | 6        | 33.33 %   |  3.72 % | $+2,382.95
CROSSUSDT       | 2        | 50.00 %   |  0.59 % | $+164.41
AINUSDT         | 5        | 20.00 %   |  1.52 % | $+2,979.94
CUSDT           | 8        | 25.00 %   |  4.81 % | $+1,533.61
VELVETUSDT      | 5        | 60.00 %   |  1.76 % | $+1,941.34
TACUSDT         | 4        | 25.00 %   |  4.43 % | $-3,387.74
ERAUSDT         | 8        | 12.50 %   |  5.50 % | $-4,023.60
TAUSDT          | 2        | 50.00 %   |  1.07 % | $-118.84
CVXUSDT         | 2        | 50.00 %   |  0.90 % | $+2,706.26
SLPUSDT         | 5        | 20.00 %   |  4.31 % | $+4,010.86
ZORAUSDT        | 3        | 33.33 %   |  1.07 % | $+590.37
TAGUSDT         | 1        |  0.00 %   |  1.00 % | $-996.17
ESPORTSUSDT     | 3        | 33.33 %   |  1.60 % | $-483.68
TREEUSDT        | 1        |  0.00 %   |  0.65 % | $-649.24
A2ZUSDT         | 6        | 16.67 %   |  4.31 % | $-4,310.53
PLAYUSDT        | 2        |  0.00 %   |  1.25 % | $-1,249.32
NAORISUSDT      | 6        | 16.67 %   | 10.52 % | $-10,521.97
TOWNSUSDT       | 8        | 37.50 %   |  4.76 % | $+1,498.92
PROVEUSDT       | 8        | 25.00 %   |  3.86 % | $-1,173.96
ALLUSDT         | 8        |  0.00 %   |  5.95 % | $-5,945.27
INUSDT          | 7        | 14.29 %   |  6.39 % | $-5,305.79
CARVUSDT        | 2        | 50.00 %   |  1.18 % | $-104.31
AIOUSDT         | 2        | 100.00 %   |  0.00 % | $+2,472.28
XNYUSDT         | 5        | 20.00 %   |  5.36 % | $-5,364.78
USELESSUSDT     | 4        | 25.00 %   |  3.30 % | $-268.31
DAMUSDT         | 3        |  0.00 %   |  2.76 % | $-2,762.87
SAPIENUSDT      | 7        | 14.29 %   |  6.10 % | $-4,448.77
XPLUSDT         | 3        | 66.67 %   |  0.92 % | $+3,491.51
WLFIUSDT        | 2        |  0.00 %   |  1.56 % | $-1,559.94
SOMIUSDT        | 2        | 50.00 %   |  0.84 % | $+2,055.90
BASUSDT         | 1        |  0.00 %   |  7.23 % | $-7,234.49
BTRUSDT         | 3        | 33.33 %   |  1.32 % | $+1,279.73
MITOUSDT        | 5        | 60.00 %   |  1.88 % | $+3,407.69
HEMIUSDT        | 4        | 50.00 %   |  3.58 % | $+305.04
LINEAUSDT       | 3        | 66.67 %   |  1.45 % | $+11,014.75
QUSDT           | 1        |  0.00 %   |  1.02 % | $-1,019.83
ARIAUSDT        | 2        |  0.00 %   |  2.70 % | $-2,697.89
TAKEUSDT        | 2        |  0.00 %   |  1.64 % | $-1,641.57
PTBUSDT         | 1        | 100.00 %   |  0.00 % | $+5,483.28
OPENUSDT        | 3        | 33.33 %   |  2.13 % | $-113.65
FLOCKUSDT       | 1        |  0.00 %   |  4.66 % | $-4,658.01
SKYUSDT         | 3        | 33.33 %   |  0.88 % | $+126.37
AVNTUSDT        | 4        | 50.00 %   |  1.57 % | $+2,407.27
HOLOUSDT        | 7        | 28.57 %   |  1.90 % | $-1,349.16
UBUSDT          | 3        | 66.67 %   |  1.12 % | $+7,327.35
ZKCUSDT         | 3        |  0.00 %   |  1.96 % | $-1,960.59
TOSHIUSDT       | 4        | 50.00 %   |  0.89 % | $+2,846.34
STBLUSDT        | 3        |  0.00 %   |  7.77 % | $-7,774.78
0GUSDT          | 2        | 50.00 %   |  0.84 % | $+720.22
BARDUSDT        | 2        |  0.00 %   |  2.06 % | $-2,057.21
ASTERUSDT       | 3        | 66.67 %   |  1.11 % | $+4,394.92
TRADOORUSDT     | 1        |  0.00 %   |  1.75 % | $-1,753.46
BLESSUSDT       | 4        | 50.00 %   |  2.79 % | $+8,844.40
FLUIDUSDT       | 2        |  0.00 %   |  1.10 % | $-1,098.75
COAIUSDT        | 3        | 33.33 %   |  1.90 % | $-1,140.18
HANAUSDT        | 2        | 50.00 %   |  2.19 % | $+166.65
MIRAUSDT        | 5        | 40.00 %   |  3.53 % | $-1,259.77
AKEUSDT         | 3        |  0.00 %   |  2.87 % | $-2,866.01
ORDERUSDT       | 2        | 50.00 %   |  1.98 % | $+761.94
LIGHTUSDT       | 1        |  0.00 %   |  1.83 % | $-1,828.86
XANUSDT         | 3        |  0.00 %   |  5.14 % | $-5,135.89
FFUSDT          | 1        | 100.00 %   |  0.00 % | $+1,236.24
VFYUSDT         | 2        |  0.00 %   |  2.56 % | $-2,556.28
EDENUSDT        | 3        | 33.33 %   |  1.05 % | $+1,146.74
NOMUSDT         | 3        | 66.67 %   |  0.79 % | $+1,901.55
TRUTHUSDT       | 2        | 50.00 %   |  1.08 % | $+1,684.04
2ZUSDT          | 4        | 25.00 %   |  2.22 % | $-276.21
EVAAUSDT        | 4        | 50.00 %   |  1.18 % | $+5,280.23
LYNUSDT         | 1        |  0.00 %   |  0.94 % | $-939.38
KGENUSDT        | 3        | 66.67 %   |  2.93 % | $+3,128.81
4USDT           | 1        |  0.00 %   |  0.99 % | $-988.26
GIGGLEUSDT      | 2        |  0.00 %   |  1.95 % | $-1,951.72
MONUSDT         | 1        |  0.00 %   |  1.58 % | $-1,582.75
YBUSDT          | 2        | 50.00 %   |  1.34 % | $+2,100.08
METUSDT         | 6        | 66.67 %   |  1.90 % | $+6,089.08
ENSOUSDT        | 2        |  0.00 %   |  1.68 % | $-1,675.15
CLOUSDT         | 4        | 25.00 %   |  4.26 % | $-485.29
RECALLUSDT      | 3        |  0.00 %   |  5.56 % | $-5,557.79
ZBTUSDT         | 1        |  0.00 %   |  1.69 % | $-1,691.46
LABUSDT         | 1        |  0.00 %   |  1.51 % | $-1,507.35
RIVERUSDT       | 4        |  0.00 %   |  4.31 % | $-4,307.53
BLUAIUSDT       | 3        | 66.67 %   |  2.43 % | $+2,831.40
TURTLEUSDT      | 2        | 100.00 %   |  0.00 % | $+3,885.56
ONUSDT          | 2        |  0.00 %   |  2.84 % | $-2,839.73
KITEUSDT        | 2        |  0.00 %   |  2.14 % | $-2,137.29
ATUSDT          | 3        | 33.33 %   |  1.72 % | $+1,330.37
CCUSDT          | 2        | 50.00 %   |  1.41 % | $-269.38
MMTUSDT         | 2        | 50.00 %   |  0.82 % | $+3,087.54
TRUSTUSDT       | 1        | 100.00 %   |  0.00 % | $+4,501.90
UAIUSDT         | 3        | 66.67 %   |  1.19 % | $+4,917.47
STABLEUSDT      | 3        | 66.67 %   |  3.51 % | $+1,655.51
JCTUSDT         | 4        | 50.00 %   |  2.30 % | $+5,851.30
ALLOUSDT        | 4        | 25.00 %   |  4.05 % | $-4,053.98
CLANKERUSDT     | 2        |  0.00 %   |  2.72 % | $-2,718.82
PIEVERSEUSDT    | 1        |  0.00 %   |  1.31 % | $-1,309.68
SENTUSDT        | 6        |  0.00 %   |  6.24 % | $-6,236.28
BOBUSDT         | 2        |  0.00 %   |  2.69 % | $-2,694.30
IRYSUSDT        | 3        |  0.00 %   |  3.54 % | $-3,535.13
POWERUSDT       | 4        | 25.00 %   |  3.48 % | $-1,424.20
WETUSDT         | 2        |  0.00 %   |  3.00 % | $-3,000.99
NIGHTUSDT       | 2        | 50.00 %   |  1.08 % | $+1,547.32
CYSUSDT         | 2        | 50.00 %   |  0.73 % | $+1,216.89
GUAUSDT         | 1        |  0.00 %   |  2.03 % | $-2,031.99
LITUSDT         | 1        |  0.00 %   |  0.69 % | $-689.24
BREVUSDT        | 3        | 33.33 %   |  2.60 % | $-103.28
COLLECTUSDT     | 1        | 100.00 %   |  0.00 % | $+4,198.62
MAGMAUSDT       | 2        | 50.00 %   |  1.19 % | $+1,846.27
FRAXUSDT        | 1        |  0.00 %   |  1.28 % | $-1,284.39
ACUUSDT         | 1        |  0.00 %   |  2.44 % | $-2,435.49
ELSAUSDT        | 1        | 100.00 %   |  0.00 % | $+1,270.82
GWEIUSDT        | 1        |  0.00 %   |  1.90 % | $-1,898.16
INXUSDT         | 3        |  0.00 %   |  2.87 % | $-2,867.25
TRIAUSDT        | 1        | 100.00 %   |  0.00 % | $+6,038.88
AZTECUSDT       | 1        |  0.00 %   |  1.68 % | $-1,683.42
---------------------------------------------------------------------------
GESAMT PNL (541 Coins getestet): $-126,567.15
===========================================================================
